,Address,Price,Beds,Source,lat,long
128,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
129,"1702 Golfview Dr, Urbana, IL 61801",1800,3bd,Trulia,40.12851066691321,-88.20209319937601
130,"904 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.120171475274624,-88.20770863866582
131,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
132,"301 W  Illinois St, Urbana, IL 61801",1430,3bd,Trulia,40.109101,-88.210474
133,"908 N  Broadway Ave, Urbana, IL 61801",775,1bd,Trulia,40.12018438157885,-88.2077092012483
134,"2120 S  Vine St, Urbana, IL 61801",3350,5bd,Trulia,40.090559884467396,-88.20467962137606
135,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
137,"310 W  Iowa St, Urbana, IL 61801",2830,4bd,Trulia,40.10474528571429,-88.21113885714286
138,"704 W Elm St, Urbana, IL 61801",1150,2bd,Trulia,40.11154511127022,-88.21628410124646
139,"702 W Elm St, Urbana, IL 61801",1150,2bd,Trulia,40.111545555635104,-88.21625655062323
140,"704 W  Elm St, Urbana, IL 61801",1150,2bd,Trulia,40.11154511127022,-88.21628410124646
141,"309 S  Coler Ave, Urbana, IL 61801",1575,4bd,Trulia,40.110456489795915,-88.21615383673469
142,"1907 E  Florida Ave, Urbana, IL 61802",1400,3bd,Trulia,40.098723,-88.183295
144,"1208 Ogelthorpe Ave, Urbana, IL 61802",1500,3bd,Trulia,40.10339565,-88.17472190000001
145,"711 W Elm St, Urbana, IL 61801",1525-1650,3-4bd,Trulia,40.111379543293836,-88.21636216047517
146,"102 N  Gregory St, Urbana, IL 61801",752,2bd,Trulia,40.112294399999996,-88.22019030000001
147,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
148,"607 S  Cottage Grove Ave, Urbana, IL 61802",1190,3bd,Trulia,40.108391775510206,-88.1958383877551
149,"903 N Lincoln Avenue, Urbana, IL 61801",1950,4bd,Trulia,40.12022552760577,-88.21954380072899
150,"413 W  Main St, Urbana, IL 61801",995,2bd,Trulia,40.113267,-88.21253225000001
151,"111 W Park St, Urbana, IL 61801",605-749,Studio-2bd,Trulia,40.117197132522776,-88.207854391654
152,"710 S  Race St, Urbana, IL 61801",710,1bd,Trulia,40.10681666666667,-88.208704
153,"1910 E  Country Squire Dr, Urbana, IL 61802",1635,4bd,Trulia,40.104994,-88.185658
154,"209 W Griggs St, Urbana, IL 61801",950-1250,1-2bd,Trulia,40.11430706122449,-88.20988340816326
155,"1504 Lincolnwood Dr, Urbana, IL 61802",1300,3bd,Trulia,40.100401278391075,-88.18547484410517
156,"1301 E  Harding Dr, Urbana, IL 61801",615,1bd,Trulia,40.093754869215154,-88.19283981433439
157,"1117 E  Willard St, Urbana, IL 61801",1150,2bd,Trulia,40.0843445,-88.2051467
158,"502 W  Elm St, Urbana, IL 61801",645,Studio,Trulia,40.11186625,-88.21355288900611
159,"803 E  Harding Dr, Urbana, IL 61801",1050,2bd,Trulia,40.0938328,-88.1934196
161,"807 W Oregon St, Urbana, IL 61801",1295,2bd,Trulia,40.10735314285714,-88.21792748979591
162,"1605 Adams St, Urbana, IL 61802",1600,3bd,Trulia,40.09896757924378,-88.18891816970326
163,"712 W  Green St, Urbana, IL 61801",1225,2bd,Trulia,40.1108435,-88.217326
164,"811 W  Oregon St, Urbana, IL 61801",1450,4bd,Trulia,40.10735257142857,-88.21797781632652
165,"106 S Coler Ave, Urbana, IL 61801",1500,3bd,Trulia,40.111858363530644,-88.21595479412682
166,"712 W  Illinois St, Urbana, IL 61801",950,2bd,Trulia,40.109191140382386,-88.21636053908834
167,"805 W  California Ave, Urbana, IL 61801",1350,2bd,Trulia,40.10817452544598,-88.21791155613782
168,"909 Crestwood Dr, Urbana, IL 61801",1155,3bd,Trulia,40.10342463461642,-88.19767145568963
169,"611 W  California Ave, Urbana, IL 61801",2800,4bd,Trulia,40.108086,-88.2157935
170,"808 W Illinois St, Urbana, IL 61801",1295-1600,2-3bd,Trulia,40.10916836734694,-88.21797689795919
171,"802 W  Illinois St, Urbana, IL 61801",745,1bd,Trulia,40.10916959183673,-88.2179012244898
173,"603 S  Scottswood Dr, Urbana, IL 61802",1240,3bd,Trulia,40.110848,-88.173598
174,"1009 S  Cottage Grove Ave, Urbana, IL 61801",2200,3bd,Trulia,40.10414125210775,-88.19576572832634
175,"701 W Elm St, Urbana, IL 61801",1125-1350,2-3bd,Trulia,40.1112446,-88.216335
176,"508 W  Griggs St, Urbana, IL 61801",675,1bd,Trulia,40.114590187326826,-88.21286122618424
177,"1105 W  Main St, Urbana, IL 61801",475,2bd,Trulia,40.1142176,-88.22292885
178,"703 Macarthur Dr, Urbana, IL 61802",1611,4bd,Trulia,40.10711964176092,-88.1716058784089
180,"201 S Busey Ave, Urbana, IL 61801",815-1035,1-2bd,Trulia,40.11132,-88.217847
181,"606 W  Ohio St, Urbana, IL 61801",1300,1bd,Trulia,40.103997199999995,-88.21518014212494
183,"Westgate Apartments, Champaign, IL 61821",685-860,1-2bd,Trulia,40.12835405,-88.27422816319176
184,"404 Edgebrook Dr, Champaign, IL 61820",615,Studio,Trulia,40.13146520502175,-88.24850222689274
185,"Baytowne Apartments, Champaign, IL 61822",1010-2255,1-2bd,Trulia,40.14186155,-88.26459151269773
186,"Prospect Pointe, Savoy, IL 61874",1175-1410,1-2bd,Trulia,40.0680035,-88.2519963149408
188,"408 S  Prairie St, Champaign, IL 61820",1855,2bd,Trulia,40.11243444897959,-88.24833775510204
189,"202 E  Daniel St, Champaign, IL 61820",1050,4bd,Trulia,40.1082852,-88.23655539963613
190,"520 Neil, Champaign, IL 61820",1550-1720,1-2bd,Trulia,40.12076925,-88.24329427507661
191,"E University Ave, Champaign, IL 61820",1010-1380,Studio-2bd,Trulia,40.1163536,-88.2329352
192,"507 W  Green St, Champaign, IL 61820",805,2bd,Trulia,40.110058571428574,-88.25031018367348
193,"101 Misty Cv, Savoy, IL 61874",1980,3bd,Trulia,40.067704,-88.252678
195,"209 N  Neil St, Champaign, IL 61820",2000,1bd,Trulia,40.11762387102626,-88.24364211290872
196,"209 N  Neil St, Champaign, IL 61820",2000,1bd,Trulia,40.11762387102626,-88.24364211290872
197,"209 N  Neil St, Champaign, IL 61820",2000,1bd,Trulia,40.11762387102626,-88.24364211290872
198,"209 N  Neil St, Champaign, IL 61820",2000,1bd,Trulia,40.11762387102626,-88.24364211290872
199,"612 W  John St, Champaign, IL 61820",1500,2bd,Trulia,40.10909406808174,-88.25317218222811
200,"2103B Melrose Dr, Champaign, IL 61820",1385,2bd,Trulia,40.08199,-88.253573
201,"508 E  University Ave, Champaign, IL 61820",1609,1bd,Trulia,40.1166304,-88.23129279057903
202,"801 Hartwell Dr, Savoy, IL 61874",1350,2bd,Trulia,40.04481185,-88.2597877113827
203,"302 W  Eureka St, Champaign, IL 61820",695,1bd,Trulia,40.12556997979798,-88.2470573030303
205,"1610 W  John St, Champaign, IL 61821",1350,2bd,Trulia,40.10904832653061,-88.2730296122449
206,"507 W  Kirby Ave, Champaign, IL 61820",1620,5bd,Trulia,40.09801524489796,-88.24971936734694
207,"401 1/2 W  Vine, Champaign, IL 61820",1730,4bd,Trulia,40.1221295,-88.2440244
208,"807 Hartwell Dr, Savoy, IL 61874",1200,2bd,Trulia,40.04382665,-88.25977767485301
209,"606 N  James St, Champaign, IL 61821",1495,4bd,Trulia,40.121514408163264,-88.26486006122448
210,"229 E  Lincoln St, Saint Joseph, IL 61873",695,1bd,Trulia,40.1113889,-88.0338173
