Address,Price,Beds,Source
"2103B Melrose Dr #2103, Champaign, IL 61820",1385,2bd,Trulia
"508 E  University Ave  #2528, Champaign, IL 61820",1609,1bd,Trulia
"801 Hartwell Dr, Savoy, IL 61874",1350,2bd,Trulia
"302 W  Eureka St   #2, Champaign, IL 61820",695,1bd,Trulia
"826 W  Maple St, Champaign, IL 61820",1045,2bd,Trulia
"1610 W  John St, Champaign, IL 61821",1350,2bd,Trulia
"507 W  Kirby Ave, Champaign, IL 61820",1620,5bd,Trulia
"401 1/2 W  Vine, Champaign, IL 61820",1730,4bd,Trulia
"807 Hartwell Dr   #2, Savoy, IL 61874",1200,2bd,Trulia
"606 N  James St, Champaign, IL 61821",1495,4bd,Trulia
"229 E  Lincoln St, Saint Joseph, IL 61873",695,1bd,Trulia
