,File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location,Latitude,Longitude
11605,708099,08/28/2007,2007,8,1000 BLOCK,E Illinois St,08/29/2007,Weeds/Grass,Owner Abated,09/06/2007,Not Available,False,0.0,"1000 E Illinois St
Urbana, IL
(40.109447316, -88.196745073)",40.109447316,-88.196745073
11607,20-000486,04/06/2020,2020,4,1100 Block,South Austin Drive,04/06/2020,Municipal Waste,Voluntarily Complied,04/14/2020,Email,False,0.0,"1100 South Austin Drive
Urbana, IL
(40.10376461, -88.187452664)",40.10376461,-88.187452664
11608,22-002544,08/09/2022,2022,8,700 Block,West High Street,08/09/2022,Municipal Waste,Voluntarily Complied,08/17/2022,Phone,False,0.0,"700 West High Street
Urbana, IL
(40.10988641, -88.216066025)",40.10988641,-88.216066025
11610,1101011,01/05/2011,2011,1,200 BLOCK,E Crystal Lake Dr,01/06/2011,Weeds/Grass,City Abated,01/14/2011,Not Available,False,0.0,"200 E Crystal Lake Dr
Urbana, IL
(40.118930976, -88.206214162)",40.118930976,-88.206214162
11611,1108025,08/09/2011,2011,8,700 BLOCK,W California Av,08/10/2011,Municipal Waste,Owner Abated,08/18/2011,Not Available,False,0.0,"700 W California Av
Urbana, IL
(40.108356404, -88.216066042)",40.108356404,-88.216066042
11612,806068,06/30/2008,2008,6,500 BLOCK,E Elm St,07/01/2008,Municipal Waste,City Abated,07/09/2008,Not Available,False,0.0,"500 E Elm St
Urbana, IL
(40.11180853, -88.202516755)",40.11180853,-88.202516755
11614,19-001345,07/03/2019,2019,7,1200 Block,West Eads Street,07/03/2019,Municipal Waste,Voluntarily Complied,07/11/2019,Phone,False,0.0,"1200 West Eads Street
Urbana, IL
(40.123186835, -88.224245514)",40.123186835,-88.224245514
11616,808062,08/21/2008,2008,8,1500 BLOCK,E Washington St,08/22/2008,Municipal Waste,Owner Abated,08/30/2008,Not Available,False,0.0,"1500 E Washington St
Urbana, IL
(40.105727302, -88.190036395)",40.105727302,-88.190036395
11617,18-000891,08/20/2018,2018,8,900 Block,N Busey Avenue,08/21/2018,Weeds/Grass,Voluntarily Complied,08/28/2018,Phone,False,0.0,"900 N Busey Avenue
Urbana, IL
(40.120137906, -88.216875838)",40.120137906,-88.216875838
11618,706066,06/21/2007,2007,6,1300 BLOCK,N Berkley Av,06/22/2007,Weeds/Grass,Owner Abated,06/30/2007,Not Available,False,0.0,"1300 N Berkley Av
Urbana, IL
(40.124858616, -88.206426857)",40.124858616,-88.206426857
11619,1505014,05/06/2015,2015,5,1400 BLOCK,E Florida Av,05/06/2015,Weeds/Grass,Owner Abated,05/14/2015,Not Available,False,0.0,"1400 E Florida Av
Urbana, IL
(40.098455797, -88.191517245)",40.098455797,-88.191517245
11620,711003,11/05/2007,2007,11,1300 BLOCK,W Bradley Av,11/07/2007,Municipal Waste,Owner Abated,11/15/2007,Not Available,False,0.0,"1300 W Bradley Av
Urbana, IL
(40.127446628, -88.224716449)",40.127446628,-88.224716449
