Address,Price,Beds,Source,URL
"310 E Springfield Ave, Champaign, IL 61820","$1,375",1 bed,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$1,485",1 bed,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$1,610",1 bed,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$1,665",1 bed,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$1,670",1 bed,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$1,675",1 bed,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$1,690",1 bed,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$1,730",1 bed,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$999 – $1,024",2 beds,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$1,024",2 beds,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820","$1,034",2 beds,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"310 E Springfield Ave, Champaign, IL 61820",$910,3 beds,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"708 S 6th St, Champaign, IL 61820","$1,600 – $1,700",Studio,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"708 S 6th St, Champaign, IL 61820","$1,820",Studio,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"708 S 6th St, Champaign, IL 61820","$1,950",Studio,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"708 S 6th St, Champaign, IL 61820","$1,245",2 beds,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"708 S 6th St, Champaign, IL 61820","$1,600",2 beds,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"708 S 6th St, Champaign, IL 61820","$1,025",4 beds,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"708 S 6th St, Champaign, IL 61820","$1,095 – $1,195",4 beds,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"708 S 6th St, Champaign, IL 61820","$1,120",4 beds,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"708 S 6th St, Champaign, IL 61820","$1,125 – $1,200",4 beds,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"708 S 6th St, Champaign, IL 61820","$1,145 – $1,245",4 beds,apartments.com,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"301 W University Ave, Champaign, IL 61820","$1,325 – $1,425",1 bed,apartments.com,https://www.apartments.com/301-w-university-ave-champaign-il/zl9q6xy/
"608 E University Ave, Champaign, IL 61820","$1,425",1 bed,apartments.com,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/
"608 E University Ave, Champaign, IL 61820","$1,530",1 bed,apartments.com,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/
"608 E University Ave, Champaign, IL 61820","$1,899",1 bed,apartments.com,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/
"608 E University Ave, Champaign, IL 61820",$899,2 beds,apartments.com,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/
"608 E University Ave, Champaign, IL 61820",$815,4 beds,apartments.com,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/
"705 S 1st St, Champaign, IL 61820",$633,3 beds,apartments.com,https://www.apartments.com/705-s-1st-st-champaign-il/ek8q17q/
"705 S 1st St, Champaign, IL 61820",$496,4 beds,apartments.com,https://www.apartments.com/705-s-1st-st-champaign-il/ek8q17q/
"217 S Neil St, Champaign, IL 61820","$1,670",2 beds,apartments.com,https://www.apartments.com/134-217-s-neil-champaign-il/1ss3km6/
"217 S Neil St, Champaign, IL 61820","$1,720",2 beds,apartments.com,https://www.apartments.com/134-217-s-neil-champaign-il/1ss3km6/
"217 S Neil St, Champaign, IL 61820","$1,770",2 beds,apartments.com,https://www.apartments.com/134-217-s-neil-champaign-il/1ss3km6/
"217 S Neil St, Champaign, IL 61820","$1,999",2 beds,apartments.com,https://www.apartments.com/134-217-s-neil-champaign-il/1ss3km6/
"713-717 S Randolph St, Champaign, IL 61820",$800,2 beds,apartments.com,https://www.apartments.com/the-courtyard-on-randolph-champaign-il/30gpbsd/
