,Unnamed: 0,Address,Price,Beds,Source,lat,long
203,203,"302 W Locust St, Urbana, IL 61801",685,1bd,apartments.com,40.113620551020404,-88.21050532653061
204,204,"1303 Silver St, Urbana, IL 61801",840,1bd,apartments.com,40.09139810204081,-88.1928676122449
205,205,"1303 Silver St, Urbana, IL 61801",975,2bd,apartments.com,40.09139810204081,-88.1928676122449
206,206,"705 W Elm St, Urbana, IL 61801",675,Studio,apartments.com,40.111381017317534,-88.21627926419006
207,207,"705 W Elm St, Urbana, IL 61801",925,2bd,apartments.com,40.111381017317534,-88.21627926419006
208,208,"705 W Elm St, Urbana, IL 61801",415,3bd,apartments.com,40.111381017317534,-88.21627926419006
209,209,"705 W Elm St, Urbana, IL 61801",1595,4bd,apartments.com,40.111381017317534,-88.21627926419006
210,210,"202 N Race St, Urbana, IL 61801",840,Studio,apartments.com,40.1135446,-88.2087962
211,211,"202 N Race St, Urbana, IL 61801",950,1bd,apartments.com,40.1135446,-88.2087962
212,212,"202 N Race St, Urbana, IL 61801",960,1bd,apartments.com,40.1135446,-88.2087962
213,213,"202 N Race St, Urbana, IL 61801",1030,2bd,apartments.com,40.1135446,-88.2087962
214,214,"202 N Race St, Urbana, IL 61801",1075,2bd,apartments.com,40.1135446,-88.2087962
215,215,"202 N Race St, Urbana, IL 61801",1105,2bd,apartments.com,40.1135446,-88.2087962
216,216,"202 N Race St, Urbana, IL 61801",1115,2bd,apartments.com,40.1135446,-88.2087962
217,217,"202 N Race St, Urbana, IL 61801",1130,2bd,apartments.com,40.1135446,-88.2087962
218,218,"202 N Race St, Urbana, IL 61801",1199,2bd,apartments.com,40.1135446,-88.2087962
219,219,"300 E Fairlawn Dr, Urbana, IL 61801",960,1bd,apartments.com,40.103837,-88.204825
220,220,"300 E Fairlawn Dr, Urbana, IL 61801",1024,1bd,apartments.com,40.103837,-88.204825
221,221,"300 E Fairlawn Dr, Urbana, IL 61801",1620,2bd,apartments.com,40.103837,-88.204825
222,222,"300 E Fairlawn Dr, Urbana, IL 61801",515,2bd,apartments.com,40.103837,-88.204825
223,223,"300 E Fairlawn Dr, Urbana, IL 61801",605,2bd,apartments.com,40.103837,-88.204825
224,224,"300 E Fairlawn Dr, Urbana, IL 61801",530,2bd,apartments.com,40.103837,-88.204825
225,225,"300 E Fairlawn Dr, Urbana, IL 61801",550,2bd,apartments.com,40.103837,-88.204825
226,226,"57 E Springfield Ave, Champaign, IL 61820",575,6bd,apartments.com,40.11254385714286,-88.23933957142857
227,227,"1407 S State St, Champaign, IL 61820",940,1bd,apartments.com,40.09974271428572,-88.2467724489796
228,228,"1407 S State St, Champaign, IL 61820",1045,2bd,apartments.com,40.09974271428572,-88.2467724489796
229,229,"520 N Neil St, Champaign, IL 61820",1550,1bd,apartments.com,40.12076925,-88.24329427507661
230,230,"520 N Neil St, Champaign, IL 61820",1620,2bd,apartments.com,40.12076925,-88.24329427507661
231,231,"520 N Neil St, Champaign, IL 61820",1720,2bd,apartments.com,40.12076925,-88.24329427507661
232,232,"513 N Hickory St, Champaign, IL 61820",1359,2bd,apartments.com,40.120154434831846,-88.2425872383271
233,233,"513 N Hickory St, Champaign, IL 61820",1359,2bd,apartments.com,40.120154434831846,-88.2425872383271
234,234,"513 N Hickory St, Champaign, IL 61820",1376,2bd,apartments.com,40.120154434831846,-88.2425872383271
235,235,"207 N Neil St, Champaign, IL 61820",2000,1bd,apartments.com,40.117612903269695,-88.24364108468154
236,236,"207 N Neil St, Champaign, IL 61820",3200,2bd,apartments.com,40.117612903269695,-88.24364108468154
237,237,"512 E Stoughton St, Champaign, IL 61820",1375,2bd,apartments.com,40.113562407088246,-88.2317637777631
238,238,"309 Birch St, Champaign, IL 61820",966,1bd,apartments.com,40.09982602928755,-88.24768825064106
239,239,"309 Birch St, Champaign, IL 61820",987,1bd,apartments.com,40.09982602928755,-88.24768825064106
240,240,"202 E Green St, Champaign, IL 61820",1225,2bd,apartments.com,40.1103614,-88.2368797
241,241,"1107 S 2nd St, Champaign, IL 61820",3100,4bd,apartments.com,40.10520289795918,-88.23771120408163
242,242,"1107 S 2nd St, Champaign, IL 61820",3300,4bd,apartments.com,40.10520289795918,-88.23771120408163
243,243,"214 E Clark St, Champaign, IL 61820",1295,1bd,apartments.com,40.11544871428571,-88.23647214285714
244,244,"202 E John St, Champaign, IL 61820",750,1bd,apartments.com,40.10910620408163,-88.23683981632654
245,245,"202 E John St, Champaign, IL 61820",950,2bd,apartments.com,40.10910620408163,-88.23683981632654
246,246,"202 E John St, Champaign, IL 61820",1100,2bd,apartments.com,40.10910620408163,-88.23683981632654
247,247,"202 E John St, Champaign, IL 61820",1350,3bd,apartments.com,40.10910620408163,-88.23683981632654
248,248,"202 E John St, Champaign, IL 61820",1575,3bd,apartments.com,40.10910620408163,-88.23683981632654
249,249,"202 E John St, Champaign, IL 61820",3000,6bd,apartments.com,40.10910620408163,-88.23683981632654
250,250,"17 E University Ave, Champaign, IL 61820",1015,Studio,apartments.com,40.1160402,-88.24259093332796
251,251,"17 E University Ave, Champaign, IL 61820",1010,Studio,apartments.com,40.1160402,-88.24259093332796
252,252,"17 E University Ave, Champaign, IL 61820",970,Studio,apartments.com,40.1160402,-88.24259093332796
253,253,"17 E University Ave, Champaign, IL 61820",1100,1bd,apartments.com,40.1160402,-88.24259093332796
254,254,"17 E University Ave, Champaign, IL 61820",1360,2bd,apartments.com,40.1160402,-88.24259093332796
260,260,"711 S Lynn St, Urbana, IL 61801",1150,2bd,apartments.com,40.10750723232323,-88.19801924242424
261,261,"711 S Lynn St, Urbana, IL 61801",1195,2bd,apartments.com,40.10750723232323,-88.19801924242424
263,263,"104 S Grove St, Urbana, IL 61802",780,1bd,apartments.com,40.11272906122449,-88.20132573469388
264,264,"104 S Grove St, Urbana, IL 61802",840,1bd,apartments.com,40.11272906122449,-88.20132573469388
265,265,"610 W Elm St, Urbana, IL 61801",645,Studio,apartments.com,40.111559407229315,-88.2148392160135
266,266,"610 W Elm St, Urbana, IL 61801",750,2bd,apartments.com,40.111559407229315,-88.2148392160135
